x,y
8.401169424,6.176238635
6.251133972,7.913022853
8.268641134,5.676592511
7.7914091,6.145519405
5.591512568,5.659804132
8.250217001,8.597645257
8.728970658,8.43928035
7.223095958,5.913543358
8.419040793,6.936451988
5.959737899,5.920800065
8.159242149,7.502323828
8.740076632,8.822865471
8.41447651,6.397348059
6.407904063,8.964529023
3.738349878,3.629638283
1.601217791,3.506640293
2.464671593,2.294454129
1.108263772,2.911474045
4.696368713,1.695449006
2.411526447,0.8531270683
2.699980434,1.99596702
1.105285499,4.598885973
6.890749853,7.83039506
7.176884239,8.906706474
8.978662739,7.679449375
7.615674602,5.722382624
8.807180262,6.807283366
7.216547753,6.081880374
7.032812959,6.309473273
8.204294503,5.682730217
8.104232986,8.656147108
7.050164236,8.27652095
5.685500184,6.805550137
5.807376455,8.412191469
8.292950852,8.138420948
7.794538305,7.67652084
5.613174437,6.879326133
2.449918364,4.402284634
2.917522352,4.622741538
0.4163487379,0.4062638769
3.30077315,2.413365073
0.2615261039,0.6413252787
2.784152671,1.264555796
3.560126246,4.419807674
2.439553126,0.9813845661
3.08800323,0.6067682737
1.068887874,2.718474967
3.22829331,1.573103741
1.903211456,1.910204575
0.5185642009,3.957696314
1.887557594,4.195897398
1.314304038,3.40118193
1.206428063,2.084610037
3.114620252,3.214449038
2.614638811,1.070407258
2.066188732,3.086354029
1.088960178,3.375955729
4.292768086,3.005117423
4.305041266,1.73154752
1.419695058,1.822006841
3.076964245,0.8574053842
3.897447509,3.97680784
4.774236557,2.463334562
4.598016231,1.773114273
1.924078518,3.875306
0.813215082,1.184024035
3.983757099,4.224167245
0.5690858982,4.082634854
0.7941214934,4.23114182
1.779140581,1.850934254
4.238792822,1.916147658
2.913905985,4.30667374
2.930888326,2.319545964
4.629189945,2.8527411
2.875391339,3.476534044
0.0498869748,4.804586366
4.046886429,2.731564896
3.044041798,3.182882867
2.399568402,2.854462446
1.342200791,4.635560735
1.29048192,4.318827849
2.40504768,0.8491962543
1.13670742,0.8934951458
0.2430114912,1.217521838
0.8462090727,3.758896775
1.292231539,0.9956718756
0.9895502878,4.914702558
3.028465321,3.548193512
4.118518227,0.8771807276
4.053074813,4.291486962
4.01118508,4.547057415
3.540566882,4.808315401
4.296889272,2.85299852
3.90542259,2.814396152
1.018984255,0.8833060235
4.96671625,2.568395302
0.4681226411,2.74235958
3.25309272,0.8263872131
1.075882631,2.469465193
1.219365511,2.675586337
1.698439025,0.9940357992
0.9893117025,3.115844562
2.534166883,0.1315769683
4.753789914,1.593954806
1.973036092,2.664997672
2.922324202,1.633868687
3.03268623,3.010952203
3.573214335,1.809663637
2.007681769,0.6746031829
4.29345511,4.569067518
4.602424911,3.202794186
3.754194447,3.293870711
1.427958526,3.376651657
3.984078939,3.722788571
0.7138291506,4.210887866
2.522750953,2.583285839
